id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
144,a,,,4.4,590,155,0,0,-1,1,0.1,547,200,1,1,1.0,287,103,0,3,0.3,334,115,0.1,0.2,0,451,84,2606,321,0.3,-0.2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,5.4,0.0,514,212,0.0,502,212,0.0,467,197,0.0,516,212,,,,4,,Diego,Coppola,Coppola,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
145,a,,,4.5,452,107,0,0,0,0,4.5,85,33,4,2,1.3,260,86,0,22,1.3,233,80,0.3,0.9,0,39827,2759,183587,40867,1.3,0.8,0.0,0.47,0.47,3.78,0.0,0.17,0.17,1.38,24.6,193,79,37.5,80,17,10.0,183,46,7.3,155,49,,,,4,,Maxim,De Cuyper,De Cuyper,,,246,0,0,0,4,0,0,0,1,0,0,3,14,,,,0.0,0.0,1.46,1.1,5.12
146,a,,,4.5,393,72,0,0,0,0,1.2,169,64,8,5,2.7,157,61,0,43,2.7,135,55,0.6,1.8,0,22586,4238,31209,3983,2.7,2.2,0.18,0.01,0.19,4.18,0.06,0.0,0.06,1.39,36.8,143,62,2.9,279,89,18.0,133,19,5.8,188,64,,,,4,,Lewis,Dunk,Dunk,,,270,0,1,0,4,0,0,0,0,0,0,3,19,,,,0.0,0.0,1.33,1.0,6.33
147,u,0.0,0.0,4.5,417,89,0,0,0,0,0.0,668,224,0,0,0.0,539,215,0,0,0.0,539,215,0.0,0.0,0,0,0,1555,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,218,0.0,526,218,0.0,495,206,0.0,537,218,,4.0,,4,,Pervis,Estupiñán Tenorio,Estupiñan,Has joined AC Milan permanently,2025-07-24T10:14:09.955203+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
153,i,0.0,0.0,4.4,542,130,0,0,-1,1,0.0,687,230,0,0,0.0,484,196,0,0,0.0,484,196,0.0,0.0,0,133,13,766,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479,198,0.0,467,198,0.0,429,180,0.0,482,199,,,,4,,Adam,Webster,Webster,Knee injury - Unknown return date,2025-08-08T14:30:04.202011+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
154,u,0.0,0.0,4.0,651,183,0,0,0,0,0.0,691,232,0,0,0.0,407,146,0,0,0.0,407,146,0.0,0.0,0,0,0,463,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402,148,0.0,389,147,0.0,349,127,0.0,405,149,,,,4,,Eiran,Cashin,Cashin,Has joined Birmingham on loan for the rest of the season.,2025-07-28T11:50:54.390347+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
155,a,,,4.0,725,233,0,0,0,0,0.2,375,134,0,0,0.0,471,186,0,0,0.0,471,186,0.0,0.0,0,2062,448,5176,765,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466,188,0.0,453,187,0.0,415,169,0.0,469,189,,,,4,,Jacob,Slater,Slater,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
156,a,,,4.0,704,218,0,0,0,0,0.1,423,162,0,0,0.0,451,172,0,0,0.0,451,172,0.0,0.0,0,1282,235,4117,610,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446,174,0.0,433,173,0.0,395,155,0.0,449,175,,,,4,,Charlie,Tasker,Tasker,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
171,u,0.0,,4.9,360,226,0,0,-1,1,0.0,629,263,0,0,0.0,640,269,0,0,0.0,640,269,0.0,0.0,0,196,52,1430,298,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,267,0.0,633,268,0.0,609,259,0.0,642,268,,,,4,,Jeremy,Sarmiento Morante,Sarmiento,has joined Cremonese on loan for the rest of the season.,2025-09-02T12:06:29.308383+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
60,a,,,4.5,513,295,0,0,0,0,0.3,305,99,0,0,0.0,602,241,0,0,0.0,602,241,0.0,0.0,0,8263,1873,12131,2168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599,235,0.0,593,238,0.0,564,226,0.0,600,236,,,,4,,Ben,Broggio,Broggio,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
173,d,75.0,,5.0,292,177,0,0,0,0,0.1,538,196,7,0,3.5,112,43,0,30,2.3,163,66,0.5,1.4,0,2724,152,3061,792,1.7,1.8,0.02,0.04,0.06,1.97,0.01,0.02,0.03,1.02,44.8,116,36,5.2,246,143,21.0,112,69,7.1,160,80,,,,4,,Mats,Wieffer,Wieffer,Knee injury - 75% chance of playing,2025-09-01T10:30:07.953121+00:00,174,0,0,0,3,0,0,0,1,0,0,2,31,,,,0.0,0.0,1.55,1.03,16.03
220,a,,,5.0,265,12,0,0,0,0,24.6,15,2,17,6,5.7,41,6,1,64,5.7,32,6,1.1,3.4,0,354990,60487,326748,71291,6.2,6.2,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.8,55.8,80,12,0.0,654,79,0.0,635,77,5.5,197,12,,,,4,,Robert,Lynch Sánchez,Sánchez,,,270,0,0,2,1,0,0,0,0,0,8,3,0,,,,2.67,0.67,0.33,1.0,0.0
170,a,,,5.0,236,148,0,0,0,0,0.1,461,155,7,6,3.5,111,42,0,22,2.3,161,64,0.5,1.4,0,3790,2681,4246,726,2.3,1.8,0.79,0.01,0.8,0.41,2.22,0.03,2.25,1.15,35.6,151,55,0.5,325,169,17.0,140,89,5.3,203,98,,,,4,,James,Milner,Milner,,,32,1,0,0,1,0,0,0,0,0,0,0,2,,,,0.0,0.0,2.81,0.0,5.62
222,u,0.0,0.0,4.0,708,80,0,0,0,0,0.0,711,82,0,0,0.0,455,63,0,0,0.0,455,63,0.0,0.0,0,0,0,207,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,63,0.0,437,49,0.0,399,43,0.0,453,63,,,,4,,Mike,Penders,Penders,Has joined RC Strasbourg on loan for the rest of the season.,2025-07-28T11:48:06.001822+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
224,a,,,6.1,82,1,0,0,1,-1,28.1,10,2,19,6,6.3,25,12,2,90,6.3,20,9,1.0,3.1,0,1059017,145205,238831,61613,6.8,6.8,0.11,0.45,0.56,1.97,0.04,0.16,0.2,0.71,67.0,56,17,56.1,43,6,17.0,142,23,14.0,53,8,,,,4,,Marc,Cucurella Saseta,Cucurella,,,248,0,1,2,1,0,0,0,0,0,0,3,18,,,,0.0,0.73,0.36,1.09,6.53
233,a,,,4.0,718,228,0,0,0,0,2.1,122,50,9,0,9.0,2,2,3,35,3.0,108,45,0.8,2.2,0,255052,4334,120515,30269,3.5,3.5,0.09,0.01,0.1,0.66,0.09,0.01,0.1,0.66,16.2,235,91,2.3,287,96,10.0,182,45,2.9,281,94,,,,4,,Josh,Acheampong,Acheampong,,,90,0,0,1,0,0,0,0,0,0,0,1,8,,,,0.0,1.0,0.0,1.0,8.0
234,u,0.0,,4.0,732,240,0,0,0,0,0.1,479,181,0,0,0.0,477,192,0,0,0.0,477,192,0.0,0.0,0,1030,104,4629,1000,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,194,0.0,460,194,0.0,422,176,0.0,475,195,,,,4,,Aarón,Anselmino,Anselmino,has joined Borussia Dortmund on loan for the rest of the season.,2025-09-02T11:35:16.308555+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
