id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
73,a,,,4.5,359,63,0,0,0,0,0.4,280,104,1,1,1.0,174,56,0,2,1.0,174,56,0.2,0.2,0,6118,6118,1253,1253,1.9,0.9,0.0,0.08,0.08,2.1,0.0,0.08,0.08,2.12,12.2,121,54,10.5,99,29,4.0,111,24,2.7,116,36,,,,1,,Adam,Smith,Smith,,,89,0,0,0,3,0,0,0,0,0,0,1,9,,,,0.0,0.0,3.03,1.01,9.1
74,a,,,4.5,476,132,0,0,0,0,0.8,207,77,0,0,0.0,449,189,0,-1,0.0,449,189,0.0,0.0,0,8339,8339,2421,2421,1.9,0.9,0.0,0.13,0.13,2.21,0.0,0.13,0.13,2.21,18.2,77,28,19.1,45,11,0.0,400,180,3.7,89,25,,,,1,,Adrien,Truffert,Truffert,,,90,0,0,0,4,0,0,0,0,0,0,1,6,,,,0.0,0.0,4.0,1.0,6.0
77,a,,,4.0,623,178,0,0,0,0,0.8,210,78,1,1,1.0,168,50,0,0,1.0,168,50,0.2,0.2,0,4392,4392,2454,2454,1.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,9.9,3.0,206,83,0.1,231,87,0.0,240,86,0.3,246,85,,,,1,,James,Hill,Hill,,,1,0,0,0,1,0,0,0,0,0,0,0,2,,,,0.0,0.0,90.0,0.0,180.0
82,a,,,7.0,38,25,0,0,0,0,8.9,47,14,15,15,15.0,2,1,3,42,15.0,2,1,2.1,2.1,1,292807,292807,12650,12650,2.3,1.3,0.91,0.02,0.93,2.21,0.91,0.02,0.93,2.21,66.4,3,1,1.3,173,100,32.0,19,9,10.0,11,6,,,3.0,1,,Antoine,Semenyo,Semenyo,,,90,2,0,0,4,0,0,0,0,0,0,1,5,,,,0.0,0.0,4.0,1.0,5.0
84,a,,,5.5,142,93,0,0,0,0,0.4,263,83,4,4,4.0,83,32,0,20,4.0,83,32,0.7,0.7,0,6108,6108,2605,2605,2.0,1.0,0.32,0.06,0.38,2.21,0.32,0.06,0.38,2.21,24.6,53,21,14.1,69,46,33.0,15,6,7.2,24,16,1.0,1.0,,1,,Marcus,Tavernier,Tavernier,,,90,0,0,0,4,0,0,0,0,0,0,1,20,,,,0.0,0.0,4.0,1.0,20.0
85,a,,,5.0,252,159,0,0,0,0,0.3,308,98,4,4,4.0,79,29,0,11,4.0,79,29,0.8,0.8,0,2387,2387,1512,1512,1.5,0.5,0.0,0.1,0.1,2.1,0.0,0.1,0.1,2.1,21.6,61,25,1.7,157,94,4.0,118,65,2.7,119,59,,,,1,,Tyler,Adams,Adams,,,90,0,0,0,3,0,0,0,0,0,0,1,19,,,,0.0,0.0,3.0,1.0,19.0
86,a,,,5.0,228,143,0,0,0,0,0.2,399,132,4,4,4.0,75,26,0,23,4.0,75,26,0.8,0.8,0,3185,3185,912,912,1.5,0.5,0.19,0.19,0.38,1.9,0.21,0.21,0.42,2.06,27.2,44,16,40.3,12,10,18.0,48,29,8.6,17,12,5.0,,,1,,David,Brooks,Brooks,,,83,0,1,0,2,0,0,0,1,0,0,1,7,,,,0.0,0.0,2.17,1.08,7.59
90,a,,,5.0,329,204,0,0,0,0,0.1,497,172,2,2,2.0,140,71,0,7,2.0,140,71,0.4,0.4,0,521,521,467,467,1.5,0.5,0.0,0.0,0.0,1.81,0.0,0.0,0.0,2.23,2.0,222,102,2.1,149,90,2.0,153,84,0.6,226,106,,5.0,,1,,Alex,Scott,Scott,,,73,0,0,0,2,0,0,0,0,0,0,1,3,,,,0.0,0.0,2.47,1.23,3.7
93,a,,,4.5,431,234,0,0,0,0,0.6,225,73,4,4,4.0,73,25,0,12,4.0,73,25,0.9,0.9,0,19731,19731,3998,3998,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.25,21.2,64,26,10.0,104,67,0.0,363,107,3.1,101,54,,,,1,,Hamed,Traorè,H.Traorè,,,16,0,1,0,2,0,0,0,0,0,0,0,4,,,,0.0,0.0,11.25,0.0,22.5
96,a,,,4.5,551,301,0,0,0,0,0.1,507,181,1,1,1.0,195,94,0,3,1.0,195,94,0.2,0.2,0,681,681,390,390,1.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,4.65,0.0,502,185,0.0,506,194,0.0,469,170,0.0,517,193,,,,1,,Ben,Winterburn,Winterburn,,,6,0,0,0,2,0,0,0,0,0,0,0,0,,,,0.0,0.0,30.0,0.0,0.0
