player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles_attempted,tackles,start_min,finish_min,team_goals_conceded
10,25-26-friendly-arsenal-vs-milan,45,0,0,0,0.0,0.0,0,0,0,2,33,27,87.0,0.0,6,0,0.0,2,100.0,0,0,2,0,0,0,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,
15,25-26-friendly-arsenal-vs-milan,24,0,0,0,0.0,0.0,0,0,0,0,17,11,92.0,0.0,2,0,0.0,0,0.0,2,0,1,0,0,0,0,3,0,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,67.0,0.0,,3.0,,,
25,25-26-friendly-arsenal-vs-milan,45,0,0,2,0.0,0.0,1,2,0,3,26,12,86.0,1.0,1,0,0.0,0,0.0,1,0,0,0,1,1,1,4,5,4,44.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,2,0,0,0,0,100.0,50.0,0.0,,2.0,,,
2,25-26-friendly-arsenal-vs-milan,45,0,0,0,0.0,0.0,0,0,0,0,11,6,75.0,0.0,1,0,0.0,1,33.0,0,0,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0,6,1,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,
11,25-26-friendly-arsenal-vs-milan,66,0,0,2,0.0,0.0,0,0,0,4,47,30,97.0,2.0,6,0,0.0,1,100.0,1,0,1,0,1,0,0,2,1,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,,1.0,,,
26,25-26-friendly-arsenal-vs-milan,45,0,0,0,0.0,0.0,0,0,0,1,42,31,89.0,2.0,11,0,0.0,2,100.0,1,1,1,0,1,0,2,3,2,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,,2.0,,,
19,25-26-friendly-arsenal-vs-milan,45,0,0,1,0.0,0.0,0,2,0,4,19,6,75.0,0.0,0,0,0.0,0,0.0,0,0,4,0,0,0,1,3,3,3,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,50.0,0.0,0.0,,0.0,,,
22,25-26-friendly-arsenal-vs-milan,24,0,0,1,0.0,0.0,1,0,0,1,10,8,89.0,1.0,1,0,0.0,1,100.0,0,0,1,0,0,0,0,2,1,0,0.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,
27,25-26-friendly-arsenal-vs-milan,11,0,0,2,0.0,0.0,1,0,0,3,15,10,91.0,2.0,0,1,100.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,,0.0,,,
1,25-26-friendly-arsenal-vs-milan,45,0,0,0,0.0,0.0,0,0,0,0,8,4,57.0,0.0,1,0,0.0,0,0.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,
