id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
443,a,,,4.5,371,71,0,0,0,0,0.2,385,149,5,0,0.7,390,140,0,38,0.0,142,91,0.0,1.1,0,0,0,0,0,1.4,,0.03,0.77,0.8,3.81,0.01,0.2,0.21,0.99,48.2,332,123,68.2,263,92,11.0,320,121,12.7,320,117,3.0,,,0,
444,a,,,4.5,512,137,0,0,0,0,1.3,166,59,22,0,1.0,358,132,0,90,0.0,283,157,0.0,4.9,0,0,0,0,0,1.4,,0.7,0.15,0.85,19.35,0.05,0.01,0.06,1.5,207.4,246,89,55.8,272,96,54.0,260,93,31.8,280,99,,,,0,
446,a,,,4.0,651,199,0,0,0,0,0.2,447,173,2,0,1.0,346,126,0,16,0.0,96,56,0.0,0.5,0,0,0,0,0,0.5,,0.0,0.02,0.02,2.94,0.0,0.01,0.01,1.59,37.4,341,128,4.9,351,128,2.0,339,129,4.4,356,129,,,,0,
447,a,,,4.0,674,217,0,0,0,0,1.9,130,45,10,0,2.5,178,58,2,47,0.0,119,74,0.0,2.5,0,0,0,0,0,0.5,,0.12,0.01,0.13,1.69,0.06,0.01,0.07,0.9,43.4,334,125,12.9,334,124,8.0,324,123,6.4,349,128,,,,0,
449,a,,,9.0,6,4,0,0,0,0,16.6,28,7,174,0,4.8,14,8,28,810,0.0,674,301,0.0,19.3,0,0,0,0,0,2.3,,9.93,7.89,17.82,45.85,0.3,0.24,0.54,1.37,1017.8,7,4,1407.7,1,1,587.0,50,33,300.8,4,4,1.0,1.0,1.0,0,
450,a,,,8.0,17,11,0,0,0,0,9.8,44,12,178,0,5.4,8,4,41,838,0.0,668,296,0.0,22.2,0,0,0,0,0,2.1,,8.73,5.29,14.02,44.53,0.3,0.18,0.48,1.54,936.2,11,5,847.8,14,13,940.0,15,7,272.2,7,5,,,,0,
452,a,,,6.5,74,53,0,0,0,0,3.5,92,30,129,0,5.0,12,7,17,569,0.0,634,273,0.0,19.8,0,0,0,0,0,1.7,,4.71,3.98,8.69,31.71,0.22,0.19,0.41,1.5,634.0,68,26,687.2,36,32,615.0,48,31,193.8,38,30,2.0,,,0,
455,a,,,6.0,89,61,0,0,0,0,0.2,373,120,25,0,1.5,307,145,0,74,0.0,577,233,0.0,4.2,0,0,0,0,0,1.6,,3.37,0.57,3.94,8.24,0.49,0.08,0.57,1.21,104.0,306,146,140.0,210,129,218.0,138,91,45.6,247,128,,,,0,
457,a,,,5.5,117,78,0,0,0,0,0.2,437,144,48,0,2.0,250,113,3,300,0.0,470,169,0.0,8.7,0,0,0,0,0,1.5,,1.8,1.99,3.79,24.0,0.11,0.12,0.23,1.45,433.2,144,64,348.2,101,73,265.0,112,77,104.8,126,76,,,,0,
458,a,,,5.0,335,210,0,0,0,0,0.9,201,69,42,0,1.7,285,131,0,229,0.0,448,152,0.0,8.4,0,0,0,0,0,1.0,,0.84,1.78,2.62,25.23,0.05,0.1,0.15,1.38,196.6,254,119,250.8,145,100,137.0,190,113,58.8,221,118,,,,0,
